,Gene,x,y
1057,Plp1,185,5074
1058,6330403K07Rik,185,4588
1059,Aldoc,185,4485
1060,Reln,185,4226
1061,Enpp2,185,4083
1062,Enpp2,185,3705
1063,Cplx2,186,5114
1064,Plp1,186,4370
1065,Cryab,186,4225
1066,6330403K07Rik,186,3841
1067,Plp1,186,3687
1068,Plp1,187,5367
1069,Plp1,187,5300
1070,Reln,187,5228
1071,Slc6a1,187,4850
1072,Plp1,187,4239
1073,Plp1,187,3968
1074,Plp1,187,3935
1075,Plp1,187,3710
1076,Plp1,187,3661
1077,3110035E14Rik,187,3650
1078,Plp1,188,5376
1079,Thsd7a,188,5372
1080,Plp1,188,5363
1081,Enpp2,188,5311
1082,Synpr,188,4846
1083,Cryab,188,4499
1084,Enpp2,188,3977
1085,Plp1,188,3967
1086,Plp1,188,3705
1087,Cryab,189,5317
1088,Id2,189,5308
1089,Cryab,189,5074
1090,Enc1,189,4710
1091,Cryab,189,4498
1092,Plp1,189,4049
1093,Plp1,189,3688
1094,Cplx2,190,4668
1095,Cryab,190,4499
1096,Ntng1,190,4117
1097,Plp1,190,4050
1098,Plp1,190,3981
1099,Rgs12,190,3710
1100,Gad1,191,4875
1101,Satb1,191,4847
1102,Enpp2,191,4240
1103,Plp1,191,4234
1104,Plp1,191,3983
1105,Plp1,191,3696
1106,Aldoc,191,3684
1107,Plp1,191,3668
1108,Synpr,192,4851
1109,Neurod6,192,4532
1110,Reln,192,3667
1111,Plp1,193,5228
1112,Htr3a,193,4843
1113,Plp1,193,4037
1114,Plp1,193,4033
1115,Slc6a1,193,3711
1116,Plp1,193,3694
1117,Pvalb,193,3653
1118,Pvalb,193,3642
1119,Plp1,194,5301
1120,Plp1,194,5076
1121,Sst,194,4832
1122,Cplx2,194,4315
1123,Cadps2,194,3927
1124,Plp1,195,4226
